,storyline,cast
The Shawshank Redemption (1994),"Chronicles the experiences of a formerly successful banker as a prisoner in the gloomy jailhouse of Shawshank after being found guilty of a crime he did not commit. The film portrays the man's unique way of dealing with his new, torturous life; along the way he befriends a number of fellow prisoners, most notably a wise long-term inmate named Red.","{'Andy Dufresne': 'Tim Robbins', ""Ellis Boyd 'Red' Redding"": 'Morgan Freeman', 'Warden Norton': 'Bob Gunton', 'Heywood': 'William Sadler', 'Captain Hadley': 'Clancy Brown'}"
Daeboo (1972),"The Godfather ""Don"" Vito Corleone is the head of the Corleone mafia family in New York. He is at the event of his daughter's wedding. Michael, Vito's youngest son and a decorated WW II Marine is also present at the wedding. Michael seems to be uninterested in being a part of the family business. Vito is a powerful man, and is kind to all those who give him respect but is ruthless against those who do not. But when a powerful and treacherous rival wants to sell drugs and needs the Don's influence for the same, Vito refuses to do it. What follows is a clash between Vito's fading old values and the new ways which may cause Michael to do the thing he was most reluctant in doing and wage a mob war against all the other mafia families which could tear the Corleone family apart.","{'Don Vito Corleone': 'Marlon Brando', 'Michael': 'Al Pacino', 'Sonny': 'James Caan', 'Clemenza': 'Richard S. Castellano', 'Tom Hagen': 'Robert Duvall'}"
Soorarai Pottru (2020),"Inspired by the book 'Simply Fly', the film tells the story of Nedumaaran Rajangam known to friends as Maara, the son of a teacher, who sets out to make the common man fly and takes on the most capital intensive industry in the world with the help of his friends, family and sheer will power.","{'Nedumaaran Rajangam': 'Suriya', 'Paresh Goswami': 'Paresh Rawal', 'Sundari': 'Aparna Balamurali', 'Pechi': 'Urvashi', 'Prakash Babu': 'Prakash Belawadi'}"
The Dark Knight (2008),"Set within a year after the events of Batman Begins (2005), Batman, Lieutenant James Gordon, and new District Attorney Harvey Dent successfully begin to round up the criminals that plague Gotham City, until a mysterious and sadistic criminal mastermind known only as ""The Joker"" appears in Gotham, creating a new wave of chaos. Batman's struggle against The Joker becomes deeply personal, forcing him to ""confront everything he believes"" and improve his technology to stop him. A love triangle develops between Bruce Wayne, Dent, and Rachel Dawes.","{'Bruce Wayne': 'Christian Bale', 'Joker': 'Heath Ledger', 'Harvey Dent': 'Aaron Eckhart', 'Alfred': 'Michael Caine', 'Rachel': 'Maggie Gyllenhaal'}"
The Godfather: Part II (1974),"The continuing saga of the Corleone crime family tells the story of a young Vito Corleone growing up in Sicily and in 1910s New York; and follows Michael Corleone in the 1950s as he attempts to expand the family business into Las Vegas, Hollywood and Cuba.","{'Michael': 'Al Pacino', 'Tom Hagen': 'Robert Duvall', 'Kay': 'Diane Keaton', 'Vito Corleone': 'Robert De Niro', 'Fredo Corleone': 'John Cazale'}"
12 Angry Men (1957),"The defense and the prosecution have rested, and the jury is filing into the jury room to decide if a young man is guilty or innocent of murdering his father. What begins as an open-and-shut case of murder soon becomes a detective story that presents a succession of clues creating doubt, and a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, AND each other. Based on the play, all of the action takes place on the stage of the jury room.","{'Juror 1': 'Martin Balsam', 'Juror 2': 'John Fiedler', 'Juror 3': 'Lee J. Cobb', 'Juror 4': 'E.G. Marshall', 'Juror 5': 'Jack Klugman'}"
The Lord of the Rings: The Return of the King (2003),"The film is set in the Nazi-occupied Croatian Ustasha regime ""NDH"" in former Yugoslavia during WWII. The film is told through the experiences of a little girl named Dara who is sent as a child during the Holocaust in the Balkans to the infamous extermination camp complex Jasenovac, also known as ""Balkan's Auschwitz"", when it was ruled by sadistic camp commander Maks Luburic until the liberation. The film is the first modern WWII movie that takes place in or shows this NDH era camp.","{'Dara Ilic': 'Biljana Cekic', 'Mile Ilic': 'Zlatan Vidovic', 'Nada Ilic': 'Anja Stanic', 'Bude Ilic': 'Jakov Saranovic'}"
Pulp Fiction (1994),"The final confrontation between the forces of good and evil fighting for control of the future of Middle-earth. Frodo and Sam reach Mordor in their quest to destroy the One Ring, while Aragorn leads the forces of good against Sauron's evil army at the stone city of Minas Tirith.","{'Everard Proudfoot': 'Noel Appleby', 'Elanor Gamgee': 'Ali Astin', 'Sam': 'Sean Astin', 'Gondorian Soldier 3': 'David Aston', 'Madril': 'John Bach'}"
Schindler's List (1993),"Jules Winnfield (Samuel L. Jackson) and Vincent Vega (John Travolta) are two hit men who are out to retrieve a suitcase stolen from their employer, mob boss Marsellus Wallace (Ving Rhames). Wallace has also asked Vincent to take his wife Mia (Uma Thurman) out a few days later when Wallace himself will be out of town. Butch Coolidge (Bruce Willis) is an aging boxer who is paid by Wallace to lose his fight. The lives of these seemingly unrelated people are woven together comprising of a series of funny, bizarre and uncalled-for incidents.","{'Pumpkin': 'Tim Roth', 'Honey Bunny': 'Amanda Plummer', 'Waitress': 'Laura Lovelace', 'Vincent Vega': 'John Travolta', 'Jules Winnfield': 'Samuel L. Jackson'}"
Inception (2010),"Oskar Schindler is a vain and greedy German businessman who becomes an unlikely humanitarian amid the barbaric German Nazi reign when he feels compelled to turn his factory into a refuge for Jews. Based on the true story of Oskar Schindler who managed to save about 1100 Jews from being gassed at the Auschwitz concentration camp, it is a testament to the good in all of us.","{'Oskar Schindler': 'Liam Neeson', 'Itzhak Stern': 'Ben Kingsley', 'Amon Goeth': 'Ralph Fiennes', 'Emilie Schindler': 'Caroline Goodall', 'Poldek Pfefferberg': 'Jonathan Sagall'}"
